section,DataSetId,JourmPatternSections_From_id,JourmPatternSections_From_StopPointRef_id,JourmPatternSections_From_StopPointRef_SequenceNumber,JourmPatternSections_From_StopPointRef,JourmPatternSections_From_TimingStatus_id,JourmPatternSections_From_TimingStatus_SequenceNumber,JourmPatternSections_From_TimingStatus,JourmPatternSections_To_id,JourmPatternSections_To_StopPointRef_id,JourmPatternSections_To_StopPointRef_SequenceNumber,JourmPatternSections_To_StopPointRef,JourmPatternSections_To_TimingStatus_id,JourmPatternSections_To_TimingStatus_SequenceNumber,JourmPatternSections_To_TimingStatus,JourmPatternSections_RouteLinkRef_id,JourmPatternSections_RouteLinkRef,JourmPatternSections_RunTime_id,JourmPatternSections_RunTime
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1,JPSU1,1,2465,JPSU1,1,PTP,JPTL1,JPSU2,2,4525,JPSU2,2,PTP,JPTL1,RL1,JPTL1,PT0S
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL2,JPSU3,2,4525,JPSU3,2,PTP,JPTL2,JPSU4,4,4278,JPSU4,4,OTH,JPTL2,RL2,JPTL2,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL3,JPSU5,4,4278,JPSU5,4,OTH,JPTL3,JPSU6,5,3872,JPSU6,5,OTH,JPTL3,RL3,JPTL3,PT0S
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL4,JPSU7,5,3872,JPSU7,5,OTH,JPTL4,JPSU8,6,2846,JPSU8,6,PTP,JPTL4,RL4,JPTL4,PT3M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL5,JPSU9,6,2846,JPSU9,6,PTP,JPTL5,JPSU10,7,2365,JPSU10,7,OTH,JPTL5,RL5,JPTL5,PT0S
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL6,JPSU11,7,2365,JPSU11,7,OTH,JPTL6,JPSU12,8,3496,JPSU12,8,PTP,JPTL6,RL6,JPTL6,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL7,JPSU13,8,3496,JPSU13,8,PTP,JPTL7,JPSU14,9,3482,JPSU14,9,OTH,JPTL7,RL7,JPTL7,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL8,JPSU15,9,3482,JPSU15,9,OTH,JPTL8,JPSU16,10,4375,JPSU16,10,OTH,JPTL8,RL8,JPTL8,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL9,JPSU17,10,4375,JPSU17,10,OTH,JPTL9,JPSU18,11,4378,JPSU18,11,OTH,JPTL9,RL9,JPTL9,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL10,JPSU19,11,4378,JPSU19,11,OTH,JPTL10,JPSU20,12,3798,JPSU20,12,OTH,JPTL10,RL10,JPTL10,PT1M
